time,lat,lon,speed (km/h),speed (mph),rotation,altitude (m),altitude (ft),desc
6/10/2012 12:06,40.44582,-75.34318,0,0,0,164,538.0577436,Project SAPHE | Flight 2
6/10/2012 16:46,39.69057,-74.80568,48,29.82581722,164,16593,54438.97646,Project SAPHE | Flight 2
6/10/2012 16:48,39.67202,-74.78506,65,40.38912748,142,14287,46873.35965,Project SAPHE | Flight 2
6/10/2012 16:50,39.65296,-74.7698,69,42.87461225,142,12322,40426.50925,Project SAPHE | Flight 2
6/10/2012 17:18,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:20,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:22,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:24,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:26,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:28,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:30,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:32,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:34,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:36,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:38,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
6/10/2012 17:40,39.57912,-74.71055,0,0,0,43,141.0761157,Project SAPHE | Flight 2
